explainer,/Images/Anchors,/Images/Counterfactuals,/Images/GradCamTorch,/Images/LIME,/Tabular/ALE,/Tabular/Anchors,/Tabular/DeepSHAPGlobal,/Tabular/DeepSHAPLocal,/Tabular/DicePrivate,/Tabular/DicePublic,/Tabular/DisCERN,/Tabular/IREX,/Tabular/Importance,/Tabular/KernelSHAPGlobal,/Tabular/KernelSHAPLocal,/Tabular/LIME,/Tabular/NICE,/Tabular/TreeSHAPGlobal,/Tabular/TreeSHAPLocal,/Text/LIME,/Text/NLPClassifier,/Timeseries/CBRFox
/Images/Anchors,1.0,0.849462365591398,0.6774193548387099,0.8666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/Counterfactuals,0.849462365591398,1.0,0.5806451612903227,0.849462365591398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/GradCamTorch,0.6774193548387099,0.5806451612903227,1.0,0.6774193548387099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/LIME,0.8666666666666668,0.849462365591398,0.6774193548387099,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Tabular/ALE,0.0,0.0,0.0,0.0,1.0,0.5304659498207887,0.6456391875746715,0.46284348864994035,0.503584229390681,0.503584229390681,0.5143369175627241,0.7939068100358423,0.6750298685782556,0.7531660692951017,0.5703703703703705,0.51471027479092,0.5143369175627241,0.6097968936678615,0.4270011947431303,0.0,0.0,0.0
/Tabular/Anchors,0.0,0.0,0.0,0.0,0.5304659498207887,1.0,0.3620071684587814,0.5448028673835126,0.795698924731183,0.795698924731183,0.78494623655914,0.5215053763440861,0.5949820788530467,0.4587813620071686,0.6415770609318997,0.6560931899641579,0.78494623655914,0.32616487455197135,0.5089605734767025,0.0,0.0,0.0
/Tabular/DeepSHAPGlobal,0.0,0.0,0.0,0.0,0.6456391875746715,0.3620071684587814,1.0,0.7216248506571087,0.3351254480286739,0.28673835125448033,0.22759856630824377,0.7501792114695341,0.5244922341696536,0.7144563918757467,0.5316606929510156,0.41793608124253284,0.32437275985663083,0.7359617682198327,0.5531660692951015,0.0,0.0,0.0
/Tabular/DeepSHAPLocal,0.0,0.0,0.0,0.0,0.46284348864994035,0.5448028673835126,0.7216248506571087,1.0,0.5179211469534052,0.46953405017921157,0.41039426523297495,0.567383512544803,0.5567502986857825,0.5316606929510156,0.7144563918757467,0.6007317801672641,0.5071684587813621,0.5531660692951015,0.7359617682198327,0.0,0.0,0.0
/Tabular/DicePrivate,0.0,0.0,0.0,0.0,0.503584229390681,0.795698924731183,0.3351254480286739,0.5179211469534052,1.0,0.9516129032258064,0.8064516129032259,0.4946236559139786,0.5681003584229393,0.43189964157706107,0.6146953405017922,0.6407556750298686,0.931899641577061,0.20250896057347673,0.38530465949820797,0.0,0.0,0.0
/Tabular/DicePublic,0.0,0.0,0.0,0.0,0.503584229390681,0.795698924731183,0.28673835125448033,0.46953405017921157,0.9516129032258064,1.0,0.8306451612903226,0.4946236559139786,0.5681003584229393,0.43189964157706107,0.6146953405017922,0.6407556750298686,0.931899641577061,0.21863799283154123,0.40143369175627247,0.0,0.0,0.0
/Tabular/DisCERN,0.0,0.0,0.0,0.0,0.5143369175627241,0.78494623655914,0.22759856630824377,0.41039426523297495,0.8064516129032259,0.8306451612903226,1.0,0.5053763440860216,0.5573476702508962,0.43189964157706107,0.6146953405017922,0.6300029868578257,0.913978494623656,0.22401433691756273,0.4068100358422939,0.0,0.0,0.0
/Tabular/IREX,0.0,0.0,0.0,0.0,0.7939068100358423,0.5215053763440861,0.7501792114695341,0.567383512544803,0.4946236559139786,0.4946236559139786,0.5053763440860216,1.0,0.5645161290322581,0.642652329749104,0.4598566308243729,0.4041965352449224,0.5053763440860216,0.7143369175627241,0.531541218637993,0.0,0.0,0.0
/Tabular/Importance,0.0,0.0,0.0,0.0,0.6750298685782556,0.5949820788530467,0.5244922341696536,0.5567502986857825,0.5681003584229393,0.5681003584229393,0.5573476702508962,0.5645161290322581,1.0,0.6750298685782556,0.7072879330943848,0.621042413381123,0.5573476702508962,0.5244922341696536,0.5567502986857825,0.0,0.0,0.0
/Tabular/KernelSHAPGlobal,0.0,0.0,0.0,0.0,0.7531660692951017,0.4587813620071686,0.7144563918757467,0.5316606929510156,0.43189964157706107,0.43189964157706107,0.43189964157706107,0.642652329749104,0.6750298685782556,1.0,0.7216248506571087,0.51471027479092,0.43189964157706107,0.7144563918757467,0.5316606929510156,0.0,0.0,0.0
/Tabular/KernelSHAPLocal,0.0,0.0,0.0,0.0,0.5703703703703705,0.6415770609318997,0.5316606929510156,0.7144563918757467,0.6146953405017922,0.6146953405017922,0.6146953405017922,0.4598566308243729,0.7072879330943848,0.7216248506571087,1.0,0.6975059737156513,0.6146953405017922,0.5316606929510156,0.7144563918757467,0.0,0.0,0.0
/Tabular/LIME,0.0,0.0,0.0,0.0,0.51471027479092,0.6560931899641579,0.41793608124253284,0.6007317801672641,0.6407556750298686,0.6407556750298686,0.6300029868578257,0.4041965352449224,0.621042413381123,0.51471027479092,0.6975059737156513,1.0,0.6300029868578257,0.39702807646356036,0.5798237753882916,0.0,0.0,0.0
/Tabular/NICE,0.0,0.0,0.0,0.0,0.5143369175627241,0.78494623655914,0.32437275985663083,0.5071684587813621,0.931899641577061,0.931899641577061,0.913978494623656,0.5053763440860216,0.5573476702508962,0.43189964157706107,0.6146953405017922,0.6300029868578257,1.0,0.2885304659498208,0.4713261648745521,0.0,0.0,0.0
/Tabular/TreeSHAPGlobal,0.0,0.0,0.0,0.0,0.6097968936678615,0.32616487455197135,0.7359617682198327,0.5531660692951015,0.20250896057347673,0.21863799283154123,0.22401433691756273,0.7143369175627241,0.5244922341696536,0.7144563918757467,0.5316606929510156,0.39702807646356036,0.2885304659498208,1.0,0.7216248506571087,0.0,0.0,0.0
/Tabular/TreeSHAPLocal,0.0,0.0,0.0,0.0,0.4270011947431303,0.5089605734767025,0.5531660692951015,0.7359617682198327,0.38530465949820797,0.40143369175627247,0.4068100358422939,0.531541218637993,0.5567502986857825,0.5316606929510156,0.7144563918757467,0.5798237753882916,0.4713261648745521,0.7216248506571087,1.0,0.0,0.0,0.0
/Text/LIME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6359020310633214,0.0
/Text/NLPClassifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6359020310633214,1.0,0.0
/Timeseries/CBRFox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
