explainer,/Images/Anchors,/Images/Counterfactuals,/Images/GradCamTorch,/Images/LIME,/Tabular/ALE,/Tabular/Anchors,/Tabular/DeepSHAPGlobal,/Tabular/DeepSHAPLocal,/Tabular/DicePrivate,/Tabular/DicePublic,/Tabular/DisCERN,/Tabular/IREX,/Tabular/Importance,/Tabular/KernelSHAPGlobal,/Tabular/KernelSHAPLocal,/Tabular/LIME,/Tabular/NICE,/Tabular/TreeSHAPGlobal,/Tabular/TreeSHAPLocal,/Text/LIME,/Text/NLPClassifier,/Timeseries/CBRFox
/Images/Anchors,1.0,0.8333333333333334,0.625,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/Counterfactuals,0.8333333333333334,1.0,0.5416666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/GradCamTorch,0.625,0.5416666666666666,1.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/LIME,0.85,0.8333333333333334,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Tabular/ALE,0.0,0.0,0.0,0.0,1.0,0.46527777777777773,0.637037037037037,0.4703703703703703,0.4236111111111111,0.4236111111111111,0.5069444444444444,0.8402777777777778,0.662037037037037,0.7203703703703703,0.5537037037037037,0.4733796296296296,0.5069444444444444,0.6092592592592593,0.4425925925925926,0.0,0.0,0.0
/Tabular/Anchors,0.0,0.0,0.0,0.0,0.46527777777777773,1.0,0.40972222222222227,0.5763888888888888,0.75,0.75,0.6666666666666666,0.4583333333333333,0.5902777777777778,0.40972222222222227,0.5763888888888888,0.6486111111111111,0.6666666666666666,0.3819444444444445,0.548611111111111,0.0,0.0,0.0
/Tabular/DeepSHAPGlobal,0.0,0.0,0.0,0.0,0.637037037037037,0.40972222222222227,1.0,0.7592592592592592,0.3680555555555556,0.3263888888888889,0.20138888888888892,0.7180555555555556,0.6203703703703703,0.7037037037037036,0.537037037037037,0.4733796296296296,0.28472222222222227,0.7870370370370371,0.6203703703703703,0.0,0.0,0.0
/Tabular/DeepSHAPLocal,0.0,0.0,0.0,0.0,0.4703703703703703,0.5763888888888888,0.7592592592592592,1.0,0.5347222222222222,0.4930555555555555,0.3680555555555555,0.5513888888888888,0.6203703703703703,0.537037037037037,0.7037037037037036,0.6400462962962963,0.45138888888888884,0.6203703703703703,0.7870370370370371,0.0,0.0,0.0
/Tabular/DicePrivate,0.0,0.0,0.0,0.0,0.4236111111111111,0.75,0.3680555555555556,0.5347222222222222,1.0,0.9583333333333334,0.75,0.4166666666666667,0.548611111111111,0.3680555555555556,0.5347222222222222,0.6377314814814815,0.861111111111111,0.2569444444444445,0.4236111111111111,0.0,0.0,0.0
/Tabular/DicePublic,0.0,0.0,0.0,0.0,0.4236111111111111,0.75,0.3263888888888889,0.4930555555555555,0.9583333333333334,1.0,0.7708333333333334,0.4166666666666667,0.548611111111111,0.3680555555555556,0.5347222222222222,0.6377314814814815,0.861111111111111,0.2708333333333333,0.4375,0.0,0.0,0.0
