explainer,/Images/Anchors,/Images/Counterfactuals,/Images/GradCamTorch,/Images/LIME,/Tabular/ALE,/Tabular/Anchors,/Tabular/DeepSHAPGlobal,/Tabular/DeepSHAPLocal,/Tabular/DicePrivate,/Tabular/DicePublic,/Tabular/DisCERN,/Tabular/IREX,/Tabular/Importance,/Tabular/KernelSHAPGlobal,/Tabular/KernelSHAPLocal,/Tabular/LIME,/Tabular/NICE,/Tabular/TreeSHAPGlobal,/Tabular/TreeSHAPLocal,/Text/LIME,/Text/NLPClassifier,/Timeseries/CBRFox
/Images/Anchors,1.0,0.849462365591398,0.6774193548387099,0.878136200716846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/Counterfactuals,0.849462365591398,1.0,0.5806451612903227,0.849462365591398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/GradCamTorch,0.6774193548387099,0.5806451612903227,1.0,0.6774193548387099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/LIME,0.878136200716846,0.849462365591398,0.6774193548387099,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Tabular/ALE,0.0,0.0,0.0,0.0,1.0,0.5349462365591399,0.6720430107526881,0.4892473118279571,0.5080645161290324,0.5080645161290324,0.5188172043010754,0.7983870967741936,0.6899641577060932,0.7795698924731183,0.5967741935483871,0.5307646356033454,0.5188172043010754,0.6362007168458782,0.453405017921147,0.0,0.0,0.0
/Tabular/Anchors,0.0,0.0,0.0,0.0,0.5349462365591399,1.0,0.36648745519713266,0.5492831541218639,0.795698924731183,0.795698924731183,0.78494623655914,0.5215053763440861,0.599462365591398,0.4632616487455198,0.646057347670251,0.6725408203902827,0.78494623655914,0.33064516129032256,0.5134408602150539,0.0,0.0,0.0
/Tabular/DeepSHAPGlobal,0.0,0.0,0.0,0.0,0.6720430107526881,0.36648745519713266,1.0,0.7365591397849462,0.3396057347670251,0.2912186379928316,0.232078853046595,0.7661290322580645,0.5394265232974912,0.7293906810035843,0.5465949820788532,0.4339904420549583,0.3288530465949821,0.7508960573476703,0.568100358422939,0.0,0.0,0.0
/Tabular/DeepSHAPLocal,0.0,0.0,0.0,0.0,0.4892473118279571,0.5492831541218639,0.7365591397849462,1.0,0.5224014336917563,0.4740143369175628,0.4148745519713262,0.5833333333333334,0.5716845878136201,0.5465949820788532,0.7293906810035843,0.6167861409796894,0.5116487455197134,0.568100358422939,0.7508960573476703,0.0,0.0,0.0
/Tabular/DicePrivate,0.0,0.0,0.0,0.0,0.5080645161290324,0.795698924731183,0.3396057347670251,0.5224014336917563,1.0,0.9516129032258064,0.8064516129032259,0.4946236559139786,0.5725806451612905,0.4363799283154123,0.6191756272401435,0.6463560334528078,0.946236559139785,0.206989247311828,0.3897849462365592,0.0,0.0,0.0
/Tabular/DicePublic,0.0,0.0,0.0,0.0,0.5080645161290324,0.795698924731183,0.2912186379928316,0.4740143369175628,0.9516129032258064,1.0,0.8306451612903226,0.4946236559139786,0.5725806451612905,0.4363799283154123,0.6191756272401435,0.6463560334528078,0.946236559139785,0.22311827956989252,0.4059139784946237,0.0,0.0,0.0
