explainer,/Images/Anchors,/Images/Counterfactuals,/Images/GradCamTorch,/Images/LIME,/Tabular/ALE,/Tabular/Anchors,/Tabular/DeepSHAPGlobal,/Tabular/DeepSHAPLocal,/Tabular/DicePrivate,/Tabular/DicePublic,/Tabular/DisCERN,/Tabular/IREX,/Tabular/Importance,/Tabular/KernelSHAPGlobal,/Tabular/KernelSHAPLocal,/Tabular/LIME,/Tabular/NICE,/Tabular/TreeSHAPGlobal,/Tabular/TreeSHAPLocal,/Text/LIME,/Text/NLPClassifier,/Timeseries/CBRFox
/Images/Anchors,1.0,0.8333333333333334,0.625,0.861111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/Counterfactuals,0.8333333333333334,1.0,0.5416666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/GradCamTorch,0.625,0.5416666666666666,1.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/LIME,0.861111111111111,0.8333333333333334,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Tabular/ALE,0.0,0.0,0.0,0.0,1.0,0.46875,0.6597222222222222,0.4930555555555555,0.4270833333333333,0.4270833333333333,0.5104166666666666,0.84375,0.673611111111111,0.7430555555555555,0.5763888888888888,0.4884259259259259,0.5104166666666666,0.6319444444444444,0.46527777777777773,0.0,0.0,0.0
/Tabular/Anchors,0.0,0.0,0.0,0.0,0.46875,1.0,0.4131944444444445,0.579861111111111,0.75,0.75,0.6666666666666666,0.4583333333333333,0.59375,0.4131944444444445,0.579861111111111,0.6647376543209876,0.6666666666666666,0.3854166666666667,0.5520833333333334,0.0,0.0,0.0
/Tabular/DeepSHAPGlobal,0.0,0.0,0.0,0.0,0.6597222222222222,0.4131944444444445,1.0,0.7708333333333334,0.37152777777777785,0.3298611111111111,0.20486111111111113,0.7326388888888888,0.6319444444444444,0.7152777777777777,0.548611111111111,0.4884259259259259,0.2881944444444445,0.7986111111111112,0.6319444444444444,0.0,0.0,0.0
/Tabular/DeepSHAPLocal,0.0,0.0,0.0,0.0,0.4930555555555555,0.579861111111111,0.7708333333333334,1.0,0.5381944444444444,0.49652777777777773,0.37152777777777773,0.5659722222222222,0.6319444444444444,0.548611111111111,0.7152777777777777,0.6550925925925927,0.4548611111111111,0.6319444444444444,0.7986111111111112,0.0,0.0,0.0
/Tabular/DicePrivate,0.0,0.0,0.0,0.0,0.4270833333333333,0.75,0.37152777777777785,0.5381944444444444,1.0,0.9583333333333334,0.75,0.4166666666666667,0.5520833333333334,0.37152777777777785,0.5381944444444444,0.6446759259259259,0.875,0.2604166666666667,0.4270833333333333,0.0,0.0,0.0
/Tabular/DicePublic,0.0,0.0,0.0,0.0,0.4270833333333333,0.75,0.3298611111111111,0.49652777777777773,0.9583333333333334,1.0,0.7708333333333334,0.4166666666666667,0.5520833333333334,0.37152777777777785,0.5381944444444444,0.6446759259259259,0.875,0.2743055555555555,0.44097222222222227,0.0,0.0,0.0
/Tabular/DisCERN,0.0,0.0,0.0,0.0,0.5104166666666666,0.6666666666666666,0.20486111111111113,0.37152777777777773,0.75,0.7708333333333334,1.0,0.5,0.46875,0.37152777777777785,0.5381944444444444,0.5613425925925927,0.9166666666666666,0.20486111111111113,0.37152777777777773,0.0,0.0,0.0
