explainer,/Images/Anchors,/Images/Counterfactuals,/Images/GradCamTorch,/Images/LIME,/Tabular/ALE,/Tabular/Anchors,/Tabular/DeepSHAPGlobal,/Tabular/DeepSHAPLocal,/Tabular/DicePrivate,/Tabular/DicePublic,/Tabular/DisCERN,/Tabular/IREX,/Tabular/Importance,/Tabular/KernelSHAPGlobal,/Tabular/KernelSHAPLocal,/Tabular/LIME,/Tabular/NICE,/Tabular/TreeSHAPGlobal,/Tabular/TreeSHAPLocal,/Text/LIME,/Text/NLPClassifier,/Timeseries/CBRFox
/Images/Anchors,1.0,0.75,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/Counterfactuals,0.75,1.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/GradCamTorch,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/LIME,0.8333333333333334,0.75,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Tabular/ALE,0.0,0.0,0.0,0.0,1.0,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.25,0.3333333333333333,0.4166666666666667,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5833333333333334,0.4166666666666667,0.0,0.0,0.0
/Tabular/Anchors,0.0,0.0,0.0,0.0,0.4166666666666667,1.0,0.25,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.5,0.3333333333333333,0.5,0.5833333333333334,0.6666666666666666,0.25,0.4166666666666667,0.0,0.0,0.0
/Tabular/DeepSHAPGlobal,0.0,0.0,0.0,0.0,0.5833333333333334,0.25,1.0,0.5833333333333334,0.25,0.25,0.16666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.0,0.0,0.0
/Tabular/DeepSHAPLocal,0.0,0.0,0.0,0.0,0.3333333333333333,0.4166666666666667,0.5833333333333334,1.0,0.5,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.5,0.6666666666666666,0.5,0.3333333333333333,0.5833333333333334,0.75,0.0,0.0,0.0
/Tabular/DicePrivate,0.0,0.0,0.0,0.0,0.25,0.5833333333333334,0.25,0.5,1.0,0.8333333333333334,0.6666666666666666,0.25,0.4166666666666667,0.25,0.4166666666666667,0.5,0.6666666666666666,0.25,0.4166666666666667,0.0,0.0,0.0
/Tabular/DicePublic,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.25,0.4166666666666667,0.8333333333333334,1.0,0.75,0.3333333333333333,0.4166666666666667,0.25,0.4166666666666667,0.5,0.75,0.25,0.4166666666666667,0.0,0.0,0.0
